rate,fico
10.84,687
6.07,782
10.74,677
7.89,672
14.74,677
13.04,737
3.29,732
4.65,722
8.87,677
12.55,677
14.52,667
12.06,672
9.48,677
16.47,687
7.86,702
4.37,737
3.89,752
4.65,772
16.66,672
4.82,762
15.39,677
5.65,732
8.87,707
8.58,732
16.49,662
7.89,687
11.08,712
12.06,697
4.41,742
6.74,697
5.65,762
8.87,682
7.34,722
9.59,672
4.65,712
4.37,722
8.87,687
10.24,677
9.36,677
10.22,692
11.98,732
10.74,712
10.36,697
10.97,682
3.37,732
13.07,702
8.64,697
7.49,702
9.86,742
12.7,707
2.54,767
8.46,727
8.46,757
8.87,702
7.11,692
15.0,662
9.86,712
4.65,722
8.46,707
8.87,667
6.91,712
5.07,752
9.86,697
12.06,672
8.87,712
8.87,702
4.37,767
9.44,727
7.74,702
6.91,767
15.5,667
10.84,697
10.23,712
11.08,702
10.18,747
11.98,707
11.08,677
11.98,762
19.7,687
8.93,742
2.78,792
11.8,677
7.87,752
4.5,762
8.87,692
14.02,672
9.44,712
19.22,662
14.02,662
9.44,667
4.41,727
13.04,697
15.0,687
4.65,757
12.71,682
17.52,672
13.07,697
5.38,732
3.37,762
18.24,707
9.17,687
7.49,722
11.08,677
4.63,792
8.87,722
9.98,737
8.87,792
8.87,687
10.84,682
4.63,747
7.89,692
8.72,687
9.86,697
13.04,697
6.75,737
5.65,717
17.24,662
13.24,682
16.47,692
12.55,677
12.71,697
8.87,707
8.64,697
5.65,727
20.03,677
3.37,737
21.45,677
8.87,707
17.05,697
11.49,677
12.06,697
11.4,732
11.08,687
11.71,672
14.74,662
7.11,692
2.17,787
4.63,787
12.06,692
18.23,697
6.91,712
12.06,667
2.74,767
11.47,672
8.46,722
9.86,712
8.74,747
15.97,677
8.72,682
9.16,722
8.87,682
9.74,692
8.87,687
21.08,672
14.52,682
7.0,732
8.46,697
9.91,702
4.65,762
6.66,722
15.8,667
10.92,682
9.86,702
7.89,737
8.46,707
2.78,782
8.87,692
20.03,662
15.24,717
12.06,662
8.34,682
8.87,682
8.93,717
